trackname,tracktype,importance,currentcon,lastcut,nextcut,importance,lastcheck,history,custodian,track_geometry
Pinnacle Biv track,Route,5,Reasonable. Flax starting to crowd the upper portions.,1.72688E+12,,5,1.72692E+12,,,"MULTILINESTRING((19057643.81689998 -5300905.662143045,19057555.376699973 -5300952.985143036,19057441.66499998 -5300994.684343038,19057337.70239997 -5300961.379243038,19057231.889799967 -5300957.464343049,19057170.112799976 -5300875.197443045,19056995.259999968 -5300824.01004304,19056798.784599967 -5300793.607943036,19056675.044399977 -5300790.117043049,19056603.101799976 -5300916.095343045,19056590.016099967 -5301070.326243039,19056486.525699977 -5301185.814543048,19056497.22989997 -5301256.355743043,19056411.08779997 -5301398.382843047,19056329.921499968 -5301460.396543044,19056311.302399978 -5301549.887343056,19056293.488799963 -5301589.621743057,19056297.909099977 -5301643.211143056,19056281.887799975 -5301724.254043061,19056313.37379997 -5301757.829143064,19056319.542999964 -5301849.088743061,19056318.571899973 -5301865.408043055,19056339.12639998 -5301879.447543062,19056346.88179998 -5301890.142443059,19056357.92529998 -5301902.987043059,19056366.83999998 -5301899.445043053,19056393.470399972 -5301894.107843054,19056412.342099976 -5301899.421543055,19056407.320999973 -5301933.294343064,19056373.361699972 -5301971.173043058,19056364.591999967 -5301972.478243067,19056356.900399968 -5301979.531643055,19056343.46099998 -5301985.874743061,19056295.996399976 -5301985.060343057,19056252.81829997 -5301966.695343052,19056205.86389997 -5301946.380843061,19056168.42239997 -5301990.23364306,19056132.69689997 -5302025.039143054,19056129.55859997 -5302058.2846430605,19056090.423899967 -5302084.231143053,19056102.27149997 -5302113.617743061,19056085.565599967 -5302128.9925430715,19056071.11049997 -5302141.228943065,19056072.863899976 -5302146.040243069,19056068.277699966 -5302162.18334306,19056052.16679997 -5302177.571143068,19056042.611799978 -5302178.857943064,19056037.75939997 -5302192.198943069,19056023.894099977 -5302199.753043065,19056018.33419998 -5302209.407243069,19056018.29409998 -5302215.8805430615,19056013.70589997 -5302221.557943067,19056001.895599972 -5302226.182243061,19055997.147599973 -5302230.063443059,19055987.97639998 -5302231.95614307,19055983.98219997 -5302228.483043068,19055972.656299975 -5302229.63514307,19055968.879099976 -5302233.932343069,19055956.99699997 -5302231.228143063,19055952.182999972 -5302238.749543068,19055930.76529998 -5302282.794743064,19055844.771799967 -5302255.511843065,19055568.442199964 -5302388.539243061,19055507.943399973 -5302511.508343072))"
Waikiti Hut from Swingbridge,Route,3,Rough but OK and reasonably well marked. A bit of regrowth in places and several patches of windthrow downriver from the bridge.,,,3,1.64363E+12,,,"MULTILINESTRING((19134336.79760001 -5249869.393442135,19134253.672300007 -5249906.2983421385,19134191.600500006 -5249975.004042143,19134100.455700006 -5250036.413442135,19134007.91560001 -5250203.924542152,19133871.84449999 -5250385.09214215,19133697.226000007 -5250355.127842151,19133496.6751 -5250448.422942155,19133257.621699996 -5250511.926342152,19133166.243500005 -5250559.502242151,19133129.808500003 -5250741.179742148,19133088.656 -5250789.425342152,19132978.304899998 -5250800.965042154,19132933.698999994 -5250987.416842163,19132852.7726 -5251101.819242161,19132831.94799999 -5251205.6396421585,19132778.109700006 -5251232.571542158,19132723.752899997 -5251298.533742168,19132701.889099997 -5251358.424442166,19132634.870500002 -5251401.445442172,19132535.4436 -5251444.032042164,19132465.05300001 -5251496.7666421635,19132401.468000002 -5251525.193042167,19132346.374499995 -5251524.4541421635,19132253.4049 -5251568.751642164,19132154.733800005 -5251554.413542167,19131959.251800004 -5251507.866842172,19131862.419600002 -5251477.284542165,19131743.963400003 -5251443.7540421635,19131640.971300002 -5251449.684942164,19131569.1149 -5251430.009542157,19131354.624900002 -5251471.84334217,19131280.2947 -5251455.38544216,19131270.059100002 -5251493.471942169,19131219.728800002 -5251500.110542166,19131151.258399993 -5251590.273642161,19131056.136600003 -5251613.384342165,19131008.445000004 -5251785.161042175,19131005.9709 -5251848.567042171,19130922.999 -5251992.215642179,19130844.90959999 -5252013.92944217,19130766.4663 -5252182.0412421785,19130704.777500004 -5252189.336642181,19130664.6343 -5252281.514342174,19130583.80109999 -5252386.153342186,19130548.1659 -5252504.422042193,19130576.869600005 -5252659.357242189,19130622.854099993 -5252702.830842187,19130787.272299994 -5253010.910042202,19130699.898299996 -5253472.3644422125))"
Harman Saddle Route,,2,,,,2,,,,"MULTILINESTRING((19077677.172099985 -5287836.1234428175,19077667.86349998 -5287806.362742812,19077742.729299985 -5287767.02064281,19077789.777899984 -5287703.022742801,19077817.246099994 -5287569.217142814,19077891.769999996 -5287546.2883428,19078122.42699999 -5287595.100042816,19078285.89529999 -5287623.046642812,19078481.774699993 -5287588.27534281,19079501.639199995 -5287388.252042803,19079752.200499985 -5287088.762542798,19079946.195999995 -5286917.614542796,19080293.763699993 -5286840.394942795,19080651.335799985 -5286865.165142791,19081006.32709999 -5286710.204942791,19081318.35149999 -5286617.774642792,19081386.355499987 -5286609.690742794,19081429.456699986 -5286601.759942785,19081553.265799996 -5286605.351542788,19081639.713999983 -5286576.373042789,19081725.66969999 -5286573.624042787,19081785.208799988 -5286585.369442787,19081820.52449999 -5286561.046342784,19081874.99189998 -5286577.693342785,19081996.157399986 -5286556.239142796,19082087.751199983 -5286584.830542793,19082193.999799993 -5286628.691442796,19082356.678499985 -5286684.234642795,19082514.129399996 -5286730.1293427935,19082684.050699998 -5286721.004642791,19082865.40829999 -5286810.002942787,19082933.645299993 -5286789.416742786,19083007.66889999 -5286825.792142798,19083039.917499986 -5286798.907242796,19083122.61249999 -5286804.206142794,19083189.907999985 -5286834.20644279,19083224.716699988 -5286870.470342796,19083262.734899983 -5286868.058542797,19083335.202799983 -5286870.90934279,19083352.484899994 -5286838.469242793))"
Sir Robert Hut via Homeward Ridge track,Route,3,Reasonably good. A bit of regen coming back in a few places.,,,3,1.54893E+12,,,"MULTILINESTRING((19053213.19219997 -5317275.60144333,19053271.588299967 -5317319.179043322,19053352.93809997 -5317293.330643329,19053402.380199973 -5317317.963643326,19053414.42479997 -5317336.245443327,19053405.578499965 -5317423.678743324,19053421.44579997 -5317481.764343333,19053411.417699974 -5317614.51974334,19053402.817799974 -5317709.331643339,19053371.30749997 -5317806.916443331,19053382.426199973 -5317895.612343336,19053272.344499964 -5318078.283643344,19053312.024599973 -5318278.998743341,19053291.588699963 -5318317.8622433515,19053271.63839997 -5318409.155043344,19053226.336699974 -5318465.490243351,19053050.213899966 -5318458.332543352,19052933.18099997 -5318585.161543356,19052895.943399973 -5318720.304343354,19052853.075699966 -5318814.370643362,19052853.020899966 -5318891.363043353,19052830.268399972 -5318961.302243358,19052814.831199974 -5318995.363243362,19052805.505899977 -5319122.936543358,19052784.706999965 -5319178.176643364,19052912.92859997 -5320903.730143396))"
Mt Barron tops from Goat Creek,Route,2,Good,,,2,1.35963E+12,,Doug Forster,"MULTILINESTRING((19098122.711962804 -5286565.942629908,19097760.055629913 -5286941.756885068,19097348.69563954 -5287024.479290802,19097268.915902812 -5286933.308248202,19097192.154099938 -5286665.865157098,19096791.394492432 -5286510.382208926,19096696.174927875 -5286371.599928099,19096560.724718314 -5286302.322265828,19096439.099461824 -5286185.938950427))"
Mt Kerr,Route,3,Good in most places. Needs a bit more trimming at the very top end,,,3,1.73188E+12,,"""Dave Evans/ Andre Winkelman""","MULTILINESTRING((19069254.974099986 -5281416.696942698,19069243.396899983 -5281397.580942702,19069232.042299982 -5281401.0703427065,19069222.02349999 -5281406.228642702,19069213.340599976 -5281423.5241426965,19069202.31999998 -5281431.564942706,19069188.62769998 -5281452.198242695,19069172.708999977 -5281487.092842695,19069139.090499982 -5281514.856842697,19069125.732199978 -5281535.793742702,19069120.166199975 -5281535.641942703,19069083.653399974 -5281565.530142703,19069072.298799977 -5281564.619842698,19069043.244399983 -5281602.700942694,19069018.75409998 -5281626.217242695,19069007.39949998 -5281658.836642699,19068999.82979999 -5281675.070542706,19068978.679099973 -5281687.056342699,19068962.092499986 -5281704.959142697,19068942.388999984 -5281714.517542702,19068909.215799984 -5281748.654442699,19068902.647899978 -5281748.047542711,19068887.174499996 -5281765.495342712,19068882.832999974 -5281788.405142699,19068871.478399977 -5281801.453142711,19068868.814799983 -5281808.478942706,19068858.342699975 -5281821.025142695,19068839.52979997 -5281855.617642712,19068838.639199983 -5281873.9760427065,19068834.742999986 -5281895.672242705,19068830.067599975 -5281931.630542707,19068816.486599978 -5281942.099442699,19068802.015099984 -5281972.140642713,19068796.894399986 -5281995.657842702,19068790.54919998 -5282007.037142702,19068786.207699984 -5282043.754542711,19068766.28149998 -5282067.878742708,19068734.778099984 -5282085.327142709,19068722.087699983 -5282105.81014271,19068704.05389999 -5282122.955142713,19068678.116499975 -5282139.645042704,19068662.64309998 -5282158.307442715,19068640.267899975 -5282178.638842713,19068635.481099978 -5282201.701342707,19068627.24349998 -5282217.632742714,19068629.358599983 -5282228.860542712,19068628.02269998 -5282234.171042709,19068622.568099987 -5282237.205542714,19068614.33039998 -5282252.378342708,19068604.91029999 -5282255.525242713,19068594.18159998 -5282272.406542706,19068586.166599985 -5282301.690142721,19068555.21979998 -5282318.987242707,19068553.549999986 -5282342.505342725,19068536.184099983 -5282371.637442714,19068535.96149998 -5282382.41034271,19068519.560899988 -5282396.398642713,19068503.541699976 -5282408.000242723,19068498.558199987 -5282423.225842709,19068484.64319999 -5282441.888742711,19068470.060399987 -5282452.509942719,19068459.707699984 -5282465.25544271,19068456.03409998 -5282481.945842719,19068460.264199983 -5282503.947042718,19068455.25489999 -5282515.023542721,19068439.113499977 -5282521.851442714,19068422.97219998 -5282538.542042723,19068412.619499978 -5282540.362842714,19068415.959099982 -5282564.184942713,19068425.198599987 -5282604.242542719,19068421.747699983 -5282624.878342715,19068427.090999987 -5282681.323642714,19068423.52879999 -5282697.559342725,19068426.534399983 -5282720.167942716,19068413.621399987 -5282745.507842716,19068426.645799987 -5282753.094642729,19068435.328699976 -5282768.2682427205,19068443.343699988 -5282826.8387427265,19068466.275499977 -5282850.054642721,19068476.516899984 -5282876.912242718,19068485.756399978 -5282896.486442726,19068487.53749998 -5282925.468642719,19068495.663799986 -5282941.097742727,19068509.578799978 -5282949.443442729,19068520.93339998 -5282945.953342724,19068548.65189998 -5282958.244242716,19068561.119699977 -5283009.835842725,19068580.15529998 -5283076.601842726,19068598.85699998 -5283092.23124273,19068625.57369999 -5283105.5845427215,19068635.926399987 -5283119.393042729,19068658.07899999 -5283127.283642724,19068685.352299992 -5283184.794142729,19068689.58239999 -5283213.777142722,19068664.64679998 -5283231.5312427385,19068650.843199983 -5283255.203342738,19068645.499899987 -5283266.432342722,19068652.06769998 -5283292.22904273,19068643.38479998 -5283300.119742736,19068646.27909999 -5283316.963442727,19068654.294099975 -5283331.682742735,19068655.518599983 -5283357.024342726,19068663.978899986 -5283371.288442737,19068685.463599987 -5283382.365942732,19068688.02389998 -5283387.373542735,19068684.572999984 -5283399.058042731,19068686.13149998 -5283405.583142741,19068699.37849999 -5283416.8124427395,19068707.95009997 -5283451.259042743,19068720.86319998 -5283462.640142734,19068733.108299978 -5283463.398842737,19068761.60609998 -5283486.161042731,19068778.303999986 -5283488.28554274,19068794.890599992 -5283484.643542729,19068823.054499988 -5283489.4995427355,19068833.184499986 -5283484.036542731,19068849.437199984 -5283488.437242738,19068858.676699985 -5283482.215642732,19068880.383999985 -5283482.519142741,19068896.747999985 -5283489.044242737,19068903.649799976 -5283498.149142737,19068914.22509999 -5283498.604442733,19068955.190699987 -5283488.437242738,19068966.54529999 -5283498.300942734,19068977.78859998 -5283499.05964274,19068995.376999974 -5283484.491842742,19069020.869199984 -5283473.110742726,19069032.001199987 -5283472.958942733,19069030.44269998 -5283478.421942728,19069046.695299976 -5283485.098842739,19069059.163099974 -5283510.744242728,19069075.527099986 -5283518.6352427285,19069092.670299985 -5283519.242242741,19069100.90789998 -5283540.031742734,19069100.35129999 -5283545.950042738,19069106.362599984 -5283556.572442735,19069112.151199978 -5283572.354342742,19069123.50579999 -5283576.451642734,19069131.743399985 -5283584.342542741,19069166.69769998 -5283591.930042739,19069178.052299976 -5283596.179042734,19069186.957899984 -5283611.354042737,19069187.73709998 -5283629.564142731,19069187.069199987 -5283641.097142729,19069178.831599995 -5283650.809142732,19069146.326299984 -5283671.902542729,19069105.47199998 -5283677.213842745,19069105.917299982 -5283683.132142733,19069111.260599982 -5283681.4628427345,19069122.50389998 -5283688.139942736,19069131.632099982 -5283703.770342742,19069136.752799988 -5283706.805342739,19069145.65839998 -5283727.595342738,19069140.76029998 -5283751.723942743,19069144.09989999 -5283756.428342738,19069139.424499992 -5283772.2105427375,19069138.867899977 -5283790.420942743,19069128.737799983 -5283796.491042732,19069123.283099983 -5283813.639142733,19069124.841599986 -5283830.635542747,19069120.50009998 -5283834.125942737,19069118.49639998 -5283839.437242744,19069112.596499987 -5283841.106542738,19069101.687199984 -5283837.616242736,19069096.009899985 -5283836.70574274,19069097.234399974 -5283843.382842741,19069096.56649999 -5283854.764442736,19069095.341899987 -5283866.449442748,19069073.523299977 -5283880.259142736,19069066.287599985 -5283897.255642736,19069065.06299999 -5283910.003042738,19069060.49889998 -5283914.403942746,19069056.49139999 -5283920.170642741,19069054.59899998 -5283932.614542745,19069051.92729998 -5283938.988342747,19069038.902999986 -5283950.369942739,19069032.780399986 -5283961.144642739,19069022.09369998 -5283976.016742738,19069010.961799987 -5283979.355342745,19069005.173199985 -5283977.230742742,19069000.052499987 -5283979.203542751,19068997.04679998 -5283984.818542745,19068982.575299975 -5283995.896742742,19068976.11879998 -5284012.438242745,19068962.20379998 -5284025.03404274,19068959.977399975 -5284042.334342747,19068962.426499985 -5284065.249642743,19068961.42459998 -5284080.728942742,19068971.55469998 -5284100.002142751,19068968.99429998 -5284115.026242743,19068974.448999986 -5284155.242242753,19068941.609699976 -5284201.832342749,19068916.11759998 -5284193.485542742,19068905.319599986 -5284196.065542741,19068916.451499976 -5284208.661542749,19068927.58349998 -5284253.430842746,19068937.602199987 -5284259.349442744,19068960.645399988 -5284252.064942756,19068972.556499984 -5284278.167742752,19068985.35829998 -5284304.725942744,19068998.15999998 -5284315.045742752,19069036.231299985 -5284341.300542752,19069070.072399992 -5284347.674542748,19069097.790999983 -5284360.877842756,19069103.134299986 -5284359.208442743,19069112.373799983 -5284365.734242751,19069129.183099978 -5284365.734242747,19069147.105499975 -5284373.929442749,19069165.807199977 -5284359.208442739,19069211.22549998 -5284353.289742752,19069222.69139998 -5284355.414442748,19069222.691399988 -5284367.100142746,19069243.062899984 -5284373.62584275,19069259.760799978 -5284373.1706427485,19069287.70199998 -5284391.230342746,19069299.167899992 -5284389.712742759,19069318.760199986 -5284401.398442755,19069322.76769998 -5284417.940642754,19069332.78639998 -5284422.189942752,19069331.784499988 -5284438.732242745,19069344.14099999 -5284442.374542752,19069355.27299998 -5284458.309742752,19069370.746399987 -5284468.326142755,19069388.557499975 -5284467.71904275,19069407.147799976 -5284482.136642759,19069439.54179998 -5284467.263742748,19069462.25099998 -5284474.2449427545,19069474.16219998 -5284488.055442756,19069492.975199975 -5284500.651942753,19069497.093999982 -5284510.668342756,19069510.452299982 -5284511.275442749,19069528.374799985 -5284525.69304275,19069535.05389998 -5284534.79894276,19069545.29529998 -5284529.790742755,19069546.63119999 -5284524.478942754,19069539.284099985 -5284516.435442754,19069564.55359998 -5284504.749542758,19069576.576099977 -5284500.955442757,19069595.72309998 -5284512.489542756,19069594.832499985 -5284524.023642756,19069602.847499978 -5284546.02964276,19069602.73619998 -5284558.626142756,19069606.96629998 -5284562.723842752,19069612.643599983 -5284562.116742748,19069639.91689999 -5284574.713242749,19069662.51469999 -5284592.621642754,19069669.527899988 -5284608.86064275,19069672.422199983 -5284613.8689427525,19069682.552299976 -5284609.771242756,19069698.359599985 -5284618.573642747,19069704.370899986 -5284618.1183427535,19069711.38399999 -5284609.315942751,19069704.70479998 -5284598.9958427595,19069703.480299983 -5284592.925142749,19069706.040699992 -5284587.765142748,19069718.61979999 -5284575.168542748,19069717.172599982 -5284569.705042754,19069739.77049998 -5284564.241442752,19069739.43649998 -5284558.626142747,19069729.52909998 -5284544.360142748,19069731.755499993 -5284528.2730427515,19069764.92869999 -5284515.676642748,19069777.173799977 -5284512.64134275,19069790.198199984 -5284513.551942757))"
Dickie Ridge from Polluck Creek Hut,Route,2,GPS to 950m. Roughly cut and marked to 300m. Cut but not marked to 950m. Very overgrown from here.,1.60398E+11,,2,1.39117E+12,,Roydon Dick,"MULTILINESTRING((19015798.844399903 -5321627.653243403,19015936.05489991 -5321751.899943416,19016007.057799906 -5321861.479843413,19016169.630299907 -5322046.785743407,19016237.730799913 -5322097.7852434125,19016379.6106999 -5322166.957343412,19016564.066499904 -5322232.384543412,19016753.4348999 -5322234.025643413,19017097.117199913 -5322330.922243422,19017260.756899904 -5322321.779443414,19017346.3754999 -5322352.641643419,19017665.532799907 -5323022.979243432,19017860.12689991 -5323585.240743439,19020519.801699914 -5324627.208743449))"
Frisco route onto Diedrich Range,Route,3,Good,,,3,1.54893E+12,,,"MULTILINESTRING((19048031.77489996 -5316793.343143325,19048116.176799964 -5316235.743143312,19048460.39219996 -5315292.048543297))"
Serpentine Hut from the Rapid Creek cage,Route,3,Very rough route. Actively eroding in several places. Cut and marked around canyons. The rest is river travel.,1.7067E+12,,3,1.7067E+12,,Andrew Buglass,"MULTILINESTRING((19036785.51879995 -5312999.929843253,19037107.770499952 -5313326.622743267,19037150.45169995 -5313453.700843253,19037230.441499952 -5313589.852143261,19037294.38849995 -5313887.714243268,19037380.45679995 -5314008.46034327,19037482.35779995 -5314080.462743273,19037579.79809995 -5314064.7619432695,19037750.777799957 -5314009.050343276,19037905.612099946 -5313980.788143267,19038010.19589995 -5313973.438543281,19038200.203799944 -5313732.338143276,19038348.951699954 -5313337.1870432645,19038460.854999945 -5313295.624643252,19038655.98899995 -5313391.911043259,19038817.78389995 -5313379.352943266,19038944.221199952 -5313274.276743256,19039058.989099946 -5313109.987543251,19039108.831299953 -5313001.471743247,19039326.292199947 -5312909.995843248,19039489.817799956 -5312927.754043257,19039538.279399958 -5313018.115943251,19039564.608299956 -5313043.291343251,19039657.043799944 -5313066.744343246,19039768.282099955 -5313123.380843253,19039903.791099966 -5313153.572143256,19040008.307599954 -5313148.654843261,19040674.592599962 -5313082.387543257,19040782.35089996 -5313007.958743252,19040950.127699953 -5312948.026843256,19040990.582199957 -5312821.275543251,19041055.18859996 -5312778.580743251,19041133.02829996 -5312798.403843263,19041273.316499956 -5312868.794843257,19041412.80459996 -5312832.752943252,19041531.21059996 -5312791.307243251,19041657.92419995 -5312813.900343254,19041729.40159995 -5312897.418043256,19041769.969199955 -5312952.132143259,19041805.591399945 -5312997.800043246,19041817.83659995 -5313035.856843251,19041853.45879996 -5313049.55734326,19041859.024799965 -5313081.52524326,19041886.854599956 -5313089.136643253,19041900.21299996 -5313107.40414326,19041920.25049996 -5313110.448643248,19041936.948399954 -5313124.149243246,19041955.872699954 -5313163.728843258,19041969.23109995 -5313180.4741432555,19041987.04219995 -5313194.174843259,19042007.079699963 -5313198.741743258,19042022.664399948 -5313212.442443259,19042036.022799958 -5313229.1878432585,19042070.53179996 -5313255.067043259,19042103.927599948 -5313282.468743261,19042123.965199955 -5313290.080343262,19042144.00269996 -5313300.736543263,19042161.813799955 -5313311.392743262,19042188.53049995 -5313346.406143269,19042204.115199953 -5313360.107143265,19042241.963799957 -5313384.464443264,19042270.906899955 -5313416.433443267,19042304.302699953 -5313445.357843265,19042325.45339996 -5313452.969543267,19042348.83049995 -5313466.670643256,19042369.98119996 -5313469.71534326,19042390.018699966 -5313481.894143268,19042430.093799956 -5313489.505943257,19042451.244499955 -5313497.117643262,19042540.30009995 -5313492.550543269,19042545.86599996 -5313512.341143255,19042692.607599955 -5313502.596243263,19042783.63719995 -5313445.763043267,19042875.93529995 -5313475.730843261,19042930.582599957 -5313511.376243264,19043089.828099962 -5313467.57754326,19043244.273299955 -5313490.791343266,19043347.593499962 -5313466.980643257,19043438.113399953 -5313503.450843258,19043528.127199963 -5313490.79184326,19043575.506199963 -5313559.010543259,19043653.35819996 -5313578.814543268,19043733.161699966 -5313655.966543278,19043808.336799964 -5313721.551043276,19043885.89149997 -5313754.444743266,19043956.78959996 -5313721.693943267,19044003.850599963 -5313732.60044327,19044030.410999954 -5313783.966843266,19044137.09269996 -5313827.352443264,19044338.63349996 -5313935.133743271,19044484.674099956 -5313979.350743267))"
Wilkinson Hut Access Track,,Medium,,,,Medium,,,,"MULTILINESTRING((19035083.204899948 -5335327.509943642,19034891.59969994 -5335372.5285436455,19034701.29799994 -5335650.571143654,19034542.81829995 -5336048.173543657,19034493.231199946 -5336073.604143656,19034453.758199945 -5336061.839043664,19034369.69699994 -5336033.761043649,19034489.06449994 -5335871.744543648))"
